Time,Ave_Temp,Volt,Integral,Channel2,Channel3,Channel4
0.0,43.73502540588379,73,3.1324872970581055,42.63375473022461,44.29789733886719,44.272518157958984,43.735931396484375
0.5,43.75043487548828,71.68,6.257269859313965,42.67000961303711,44.31965255737305,44.294273376464844,43.717803955078125
1.0,43.74482822418213,73,9.3848557472229,42.68071746826172,44.34486389160156,44.27960205078125,43.674129486083984
1.5,43.746639251708984,73,12.511536121368408,42.67708969116211,44.27960205078125,44.32673263549805,43.70313262939453
2.0,43.744699478149414,73,15.639186382293701,42.65521240234375,44.27947235107422,44.33748245239258,43.70663070678711
2.5,43.76358127593994,69.74,18.75739574432373,42.66593551635742,44.308326721191406,44.33732986450195,43.742733001708984
3.0,43.754515647888184,73,21.88013792037964,42.63692855834961,44.26844024658203,44.3554573059082,43.75723648071289
3.5,43.79064083099365,57.24,24.984817504882812,42.683929443359375,44.33357238769531,44.362579345703125,43.7824821472168
4.0,43.808770179748535,70.25,28.080432415008545,42.76731872558594,44.340824127197266,44.362579345703125,43.76435852050781
4.5,43.86302089691162,43.49,31.148921966552734,42.85057830810547,44.39870071411133,44.39870071411133,43.80410385131836
5.0,43.88930702209473,63.63,34.20426845550537,42.88683319091797,44.36969757080078,44.45671081542969,43.84398651123047
5.5,43.887173652648926,73,37.26068162918091,42.85750961303711,44.340370178222656,44.478145599365234,43.8726692199707
6.0,43.909833908081055,66.36,40.30576467514038,42.868385314941406,44.35124969482422,44.510772705078125,43.90892791748047
6.5,43.89880657196045,73,43.356361389160156,42.83197784423828,44.20970153808594,44.57950973510742,43.974037170410156
7.0,43.887022972106934,73,46.41284990310669,42.73408508300781,44.144439697265625,44.65202331542969,44.01754379272461
7.5,43.89880657196045,73,49.463446617126465,42.70870590209961,44.14081573486328,44.681026458740234,44.06467819213867
8.0,43.9295129776001,60.99,52.498690128326416,42.675968170166016,44.18058395385742,44.75342559814453,44.10807418823242
8.5,43.96108627319336,60.12,55.518146991729736,42.755577087402344,44.23844528198242,44.742401123046875,44.1079216003418
9.0,43.97360801696777,73,58.53134298324585,42.78804016113281,44.20927429199219,44.77848815917969,44.118629455566406
